Essa foi sua primeira Python Brasil?,Quais atividades você participou?,Quais dias você participou?,Avalie a sua satisfação em geral com... [Python Brasil 2020],Avalie a sua satisfação em geral com... [Rodas de conversa],Avalie a sua satisfação em geral com... [Palestras],Avalie a sua satisfação em geral com... [Keynotes],Avalie a sua satisfação em geral com... [Tutoriais],Avalie a sua satisfação em geral com... [Sprints],O que você achou dos... [Temas das palestras?],O que você achou dos... [Níveis das palestras?],O que você achou dos... [Temas dos tutoriais?],O que você achou dos... [Níveis dos tutoriais?],Qual a chance de você participar da Python Brasil 2021? [Se for online],Qual a chance de você participar da Python Brasil 2021? [Se for presencial],"Se a Python Brasil 2021 for online, qual seria o maior impeditivo para você participar do evento?","Se a Python Brasil 2021 for presencial, qual seria o maior impeditivo para você participar do evento?","Se escolheu alguma das opções acima, detalhe os motivos abaixo.",Como podemos melhorar na próxima edição da Python Brasil?,Você têm algum outro comentário sobre a Python Brasil 2020?
Sim,"Palestras à tarde, Palestras à noite","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira",Alta,Não se aplica,Alta,Não se aplica,Não se aplica,Não se aplica,Bom,Bom,Não se aplica,Não se aplica,Alta,Alta,"Acessibilidade do evento, Conectividade, Ferramentas utilizadas no evento",Dificuldade em liberação pela empresa,,,
Sim,Palestras à tarde,"Quinta-feira, Sexta-feira",Não se aplica,Não se aplica,Alta,Média,Não se aplica,Não se aplica,Bom,Bom,Não se aplica,Não se aplica,Alta,Alta,Horários das atividades incompatíveis com agenda,"Insegurança relacionada a pandemia COVID-19, Custo do transporte, Custo da estadia",,Palestras em tempos mais curtos ou variados se for online,
Sim,"Rodas de conversa, Tutoriais","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira",Muito alta,Muito alta,Muito alta,Não se aplica,Muito alta,Não se aplica,Excelente,Excelente,Excelente,Excelente,Muito alta,Muito alta,"Conectividade, Ferramentas utilizadas no evento","Custo do transporte, Custo da estadia, Custo do ingresso, Acessibilidade do evento",Muito bom,Continue assim muito bom,
Sim,"Palestras à tarde, Palestras à noite","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira",Muito alta,Muito baixa,Muito alta,Muito baixa,Não se aplica,Não se aplica,Excelente,Bom,Não se aplica,Não se aplica,Muito alta,Média,"Horários das atividades incompatíveis com agenda, Conectividade, Ferramentas utilizadas no evento","Insegurança relacionada a pandemia COVID-19, Custo do transporte, Custo da estadia, Custo do ingresso",,,
Sim,"Palestras à tarde, Palestras à noite, Tutoriais","Segunda-feira, Terça-feira, Sexta-feira, Sábado, Domingo",Alta,Muito baixa,Média,Baixa,Baixa,Baixa,Bom,Bom,Bom,Bom,Alta,Média,Acessibilidade do evento,,,,
Sim,"Rodas de conversa, Palestras à tarde, Tutoriais","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira",,,,,,,Excelente,Excelente,Excelente,Excelente,,,,,,,
Sim,"Palestras à tarde, Palestras à noite, Keynotes","Segunda-feira, Terça-feira, Quinta-feira, Sábado",Média,Muito baixa,Muito alta,Muito alta,Muito baixa,Muito baixa,Excelente,Excelente,Não se aplica,Não se aplica,Muito alta,Muito baixa,Acessibilidade do evento,Custo do ingresso,,,
Sim,"Rodas de conversa, Palestras à tarde, Palestras à noite, Keynotes, Tutoriais, Sprints","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira, Sábado, Domingo",Muito alta,Muito alta,Muito alta,Muito alta,Muito alta,Muito alta,Excelente,Excelente,Excelente,Excelente,Muito alta,Muito alta,Ferramentas utilizadas no evento,,,"Parabéns, todo o evento foi maravilhoso,gostei muito de todo.",
Sim,"Rodas de conversa, Palestras à tarde, Tutoriais","Segunda-feira, Quarta-feira, Domingo",Média,Baixa,Média,Muito baixa,Média,Média,Excelente,Excelente,Excelente,Excelente,Muito alta,Muito alta,Horários das atividades incompatíveis com agenda,"Insegurança relacionada a pandemia COVID-19, Dificuldade em liberação pela empresa",Aglomeração de pessoas.,"Ter uma agenda fixa. Entendo que existem possibilidades de mexer na grade do evento,mas não avisar isso com antecedencia e saber só no momento da palestra atrapalha quem faz agenda para participar.",
Sim,"Palestras à noite, Sprints","Terça-feira, Quarta-feira, Sexta-feira",Muito alta,,Muito alta,,,Muito alta,Excelente,Excelente,,,Muito alta,Muito baixa,,,,,
Sim,"Palestras à tarde, Palestras à noite","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira",Alta,,Alta,,,,Bom,Bom,Não se aplica,Não se aplica,Muito alta,Baixa,,"Insegurança relacionada a pandemia COVID-19, Custo do transporte, Custo da estadia, Custo do ingresso",,,
Sim,"Palestras à tarde, Palestras à noite","Segunda-feira, Terça-feira, Quinta-feira, Sexta-feira, Sábado",Muito alta,Baixa,Alta,Baixa,Baixa,Baixa,Bom,Bom,Indiferente,Indiferente,Muito alta,Baixa,,,,,
Sim,"Palestras à tarde, Palestras à noite, Keynotes","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira",Muito alta,Não se aplica,Muito alta,Alta,Muito baixa,Muito baixa,Excelente,Excelente,Excelente,Excelente,Alta,Muito alta,,,,,
Não,"Palestras à tarde, Palestras à noite","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira",Alta,,Alta,,,,Excelente,Excelente,Excelente,Excelente,Muito alta,Alta,Conectividade,,,Continuem assim. Inovando e trazendo pessoas da comunidade para falar de tudo. Muito bom. Mais que tudo um encontro. Parabéns.,
Sim,"Palestras à tarde, Palestras à noite, Keynotes","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira",Muito alta,Baixa,Muito alta,Muito alta,Muito baixa,Muito baixa,Bom,Bom,Não se aplica,Não se aplica,Alta,Alta,Horários das atividades incompatíveis com agenda,"Custo do transporte, Custo da estadia, Custo do ingresso","Distância da minha residência, estadia e, se houver, pagamento do congresso (caso for alto)",Melhor divulgação e vagas para os sprints e discord,
Sim,Tutoriais,Domingo,Muito alta,Não se aplica,Muito alta,Muito alta,Muito alta,Muito alta,Excelente,,Excelente,Excelente,Média,Muito alta,Horários das atividades incompatíveis com agenda,Dificuldade em liberação pela empresa,,mais conteudo de assuntos variados .,
Sim,"Palestras à tarde, Palestras à noite, Keynotes","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira",Alta,Alta,Muito alta,Alta,Não se aplica,Não se aplica,Excelente,Bom,Não se aplica,Não se aplica,Muito alta,Média,Horários das atividades incompatíveis com agenda,"Insegurança relacionada a pandemia COVID-19, Custo do transporte, Custo da estadia, Custo do ingresso, Dificuldade em liberação pela empresa",,,
