,Video,Video title,Video publish time,Views,Watch time (hours),Subscribers,Impressions,Impressions click-through rate (%)
0,Total,,,48314.0,10507.1228,1477.0,969192.0,2.38
1, -DFgRTGRCA8,[PyBr2020] Abertura + Mesa Redonda - Segunda-feira - Dia 02 #pybr2020,"Nov 2, 2020",4373.0,1127.7765,184.0,33200.0,5.27
2,JM2BSgSDmi8,[PyBr2020] Trilha PEP20 - Segunda-feira - Dia 02 #pybr2020,"Nov 2, 2020",3927.0,893.211,71.0,57095.0,3.39
3,HGB7DpeCNWE,[PyBr2020] Trilha PEP8 - Segunda-feira - Dia 02 #pybr2020,"Nov 2, 2020",3309.0,753.3745,54.0,49337.0,3.45
4,SHyHQzp7sVI,[PyBr2020] Trilha PEP404 - Segunda-feira - Dia 02 #pybr2020,"Nov 2, 2020",2760.0,555.6777,36.0,91311.0,1.58
5,a1LHfsYq8rU,[PyBr2020] Mesa Redonda - Terça-feira - Dia 03/11 #pybr2020,"Nov 4, 2020",2668.0,519.8524,32.0,63412.0,1.89
6,NqqieeA5noA,[PyBr2020] Trilha PEP0 - Segunda-feira - Dia 02 #pybr2020,"Nov 2, 2020",2601.0,460.0722,53.0,34889.0,3.72
7,ruaGqonhT7w,"[PyBr2020] Mesa Redonda -Quarta-feira- Dia 04/11 #pybr2020 @Pizza de Dados@E AI, Carla?@Peixe Babel","Nov 4, 2020",2109.0,318.1375,36.0,53388.0,1.67
8,QSVR8RBjNDM,[PyBr2020] Trilha PEP404 - Terça-feira - Dia 03/11 #pybr2020,"Nov 3, 2020",2087.0,521.3503,24.0,31411.0,2.8
9,2vTDUZxSHvo,[PyBr2020] Keynote: Melissa Weber Mendonça - Segunda-feira - Dia 02 #pybr2020,"Nov 3, 2020",1823.0,463.2559,46.0,38961.0,2.21
10,z9ePkyOFD24,[PyBr2020] Trilha PEP8 - Terça-feira - Dia 03/11 #pybr2020,"Nov 3, 2020",1770.0,404.4077,12.0,33999.0,2.85
11,bY_uJCIbDaM,[PyBr2020] Trilha PEP0 - Terça-feira - Dia 03/11 #pybr2020,"Nov 3, 2020",1590.0,449.9506,28.0,23340.0,3.48
12,P29fXS60vhk,[PyBr2020] Trilha PEP20 - Terça-feira - Dia 03/11 #pybr2020,"Nov 3, 2020",1191.0,271.9504,18.0,21352.0,2.9
13,2DhFUMwAGyI,[PyBr2020] Keynote: Diana Rodriguez - Terça-feira - Dia 03/11 #pybr2020,"Nov 4, 2020",1129.0,170.3903,10.0,20869.0,2.42
14,2ChVEdZ_NhI,[PyBr2020] Mesa Redonda - Quinta-feira - Dia 05/11 #pybr2020,"Nov 5, 2020",1128.0,248.0191,5.0,30103.0,1.51
15,fnGw9-xYq6I,[PyBr2020] Trilha PEP8 - Quarta-feira - Dia 04/11 #pybr2020,"Nov 4, 2020",1099.0,277.8192,14.0,18345.0,2.9
16,3assmXh0R5Q,[PyBr2020] Keynote: Ana Paula Gomes  & Encerramento Oficial - Sexta-Feira - Dia 06/11 #pybr2020,"Nov 6, 2020",1049.0,272.1451,9.0,21258.0,2.2
17,1HhMeU9dpZY,[PyBr2020] Trilha PEP0 - Quarta-feira - Dia 04/11 #pybr2020,"Nov 5, 2020",1046.0,224.1654,12.0,12992.0,3.37
