Video,Video title,Video publish time,Views,Watch time (hours),Subscribers,Impressions,Impressions click-through rate (%)
HqRDZ5unNuo,[PyBr2021] Abertura + Roda de conversa sobre AfroPython - Segunda-feira - Dia 11/10 #PyBr2021,"Oct 11, 2021",6121,1320.8393,376,33818,5.06
lsrVtD5qaW4,[PyBr2021] Trilha Marie Van Brittan Brown - Segunda-feira - Dia 11/10 #PyBr2021,"Oct 11, 2021",3076,784.7284,44,33338,3.21
s7B8Cd02MF8,[PyBr2021] Trilha Shirley Ann Jackson - Segunda-feira - Dia 11/10 #PyBr2021,"Oct 11, 2021",2349,587.2428,39,26281,3.15
qu85TN0Ljok,[PyBr2021] Trilha Timnit Gebru - Segunda-feira - Dia 11/10 #PyBr2021,"Oct 11, 2021",2173,501.0037,32,55619,1.34
ia-W6GwDTto,[PyBr2021] Keynote: Kizzy Terra e Hallison Paz - Segunda-feira - Dia 11/10 #PyBr2021,"Oct 12, 2021",1727,353.4306,75,27572,2.43
7Rgz3rnVPR4,[PyBr2021] Trilha Angelica Ross - Segunda-feira - Dia 11/10 #PyBr2021,"Oct 11, 2021",1190,229.0025,14,17004,2.89
2jcvSbm1vNw,[PyBr2021] Trilha Shirley Ann Jackson - Terça-feira - Dia 12/10 #PyBr2021,"Oct 12, 2021",1111,287.1516,14,14459,3.08
aEc4FcD4MFg,[PyBr2021] Trilha Angelica Ross - Terça-feira - Dia 12/10 #PyBr2021,"Oct 12, 2021",1025,259.183,12,14078,2.06
c-ytboo__JI,[PyBr2021] Trilha Bonnie Prado Pinto - Segunda-feira - Dia 11/10 #PyBr2021,"Oct 11, 2021",1000,51.9582,6,11320,3.2
6_zE8tUjszM,[PyBr2021] Trilha Timnit Gebru - Terça-feira - Dia 12/10 #PyBr2021,"Oct 12, 2021",935,198.8558,9,12062,2.83
SU7H9Qbj8R4,[PyBr2021] Trilha Marie Van Brittan Brown - Terça-feira - Dia 12/10 #PyBr2021,"Oct 12, 2021",915,209.9435,9,14018,2.55
Z8oFrUY5DAU,[PyBr2021] Trilha Bonnie Prado Pinto - Segunda-feira - Dia 11/10 #PyBr2021,"Oct 11, 2021",911,119.1405,7,16318,3.43
E78Ye0rQ1uA,[PyBr2021] Roda de conversa sobre APyB - Terça-feira - Dia 12/10 #PyBr2021,"Oct 12, 2021",906,186.0782,9,16298,2.66
XuqLH7wOu5g,[PyBr2021] Trilha Shirley Ann Jackson - Quarta-feira - Dia 13/10 #PyBr2021,"Oct 13, 2021",885,253.4403,16,24447,1.09
fXRGok6QbIw,[PyBr2021] Keynote: Anicely Santos - Terça-feira - Dia 12/10 #PyBr2021,"Oct 13, 2021",852,169.799,19,12191,3.31
M2H44tQA_b8,[PyBr2021] Roda de conversa sobre Dados Abertos - Quarta-feira - Dia 13/10 #PyBr2021,"Oct 13, 2021",833,272.4159,18,14556,2.75
lO3-tfEwzTc,[PyBr2021] Trilha Marie Van Brittan Brown - Quarta-feira - Dia 13/10 #PyBr2021,"Oct 13, 2021",798,194.2171,11,10757,2.57
OFKk416Zx9w,[PyBr2021] Trilha Angelica Ross - Quarta-feira - Dia 13/10 #PyBr2021,"Oct 13, 2021",771,181.6265,6,12228,2.37
VC49d5frTbg,[PyBr2021] Trilha Marie Van Brittan Brown - Quinta-feira - Dia 14/10 #PyBr2021,"Oct 14, 2021",718,180.9975,11,10452,2.03
8U1dvezVoE0,[PyBr2021] Esquenta OFICIAL - Dúvidas e Bastidores,"Oct 9, 2021",681,61.941,9,14016,2.69
 -OMV8DEEN8E,[PyBr2021] Keynote: Yasodara Córdova - Quarta-feira - Dia 13/10 #PyBr2021,"Oct 14, 2021",675,182.9489,6,12330,2.49
5XN1r7Sf6wM,[PyBr2021] Keynote: Eduardo Cuducos + Encerramento oficial - Sexta-feira - Dia 15/10 #PyBr2021,"Oct 16, 2021",666,246.5878,1,8076,3.88
AeYJSHnwyYU,[PyBr2021] Trilha Shirley Ann Jackson - Quinta-feira - Dia 14/10 #PyBr2021,"Oct 14, 2021",658,142.5969,5,10187,2.51
4xrgUjNRqK4,[PyBr2021] Roda de conversa sobre Educação não Formal - Quinta-feira - Dia 14/10 #PyBr2021,"Oct 14, 2021",605,188.9833,16,8680,2.44
O7rd1BwkRT8,Abertura da Python Brasil 2021,"Oct 11, 2021",581,31.5058,7,6580,5.27
P2gQhRxgxpM,[PyBr2021] Trilha Timnit Gebru - Quarta-feira - Dia 13/10 #PyBr2021,"Oct 13, 2021",557,162.8665,5,9228,1.97
Ul8aA8w7DTw,[PyBr2021] Keynote: Gabi Cavalcante - Quinta-feira - Dia 14/10 #PyBr2021,"Oct 15, 2021",535,155.4475,5,8634,3.03
