interval_start_timestamp,days_in_guild,muters
2022-10-17T00:00:00+00:00,Existing Members,5
2022-10-17T00:00:00+00:00,New Members,6
2022-10-18T00:00:00+00:00,Existing Members,0
2022-10-18T00:00:00+00:00,New Members,1
2022-10-19T00:00:00+00:00,Existing Members,1
2022-10-19T00:00:00+00:00,New Members,0
2022-10-20T00:00:00+00:00,Existing Members,2
2022-10-20T00:00:00+00:00,New Members,1
2022-10-21T00:00:00+00:00,Existing Members,2
2022-10-21T00:00:00+00:00,New Members,6
2022-10-22T00:00:00+00:00,Existing Members,0
2022-10-22T00:00:00+00:00,New Members,0
2022-10-23T00:00:00+00:00,Existing Members,0
2022-10-23T00:00:00+00:00,New Members,1
