"tipo_ingresso","como_voce_se_define","como_voce_se_define_se_outro","como_voce_se_indentifica","como_voce_se_indentifica_se_outro","faz_parte_da_populacao_t","orientaca_sexual","orientaca_sexual_se_outro","pessoa_com_necessidade_especifica","pessoa_com_necessidade_especifica_se_sim_qual","uf","pais","edicoes_anteriores_pybr","eventos_pybr","eventos_online","programa_em_python","nivel_python","estudante","trabalha_com_python","parte_de_alguma_comunidade","comunidade_qual"
"Ingresso Meia-Entrada (lote 1)","Uma pessoa branca / Persona blanca",,"Homem / Hombre",,"Não / No","Hétero",,"Não / No",,"MG","Brasil","Python Brasil 2020 - Online","Não, esse é meu primeiro evento da linguagem Python / No, es mi primer evento de la comunidad Python","Sim / Sí","Há mais de três anos / Hace más de tres años","Intermediário / Intermedio","Sim, graduação ou tecnólogo / Sí, grado","Sim / Sí","Não / No",
"Ingresso Meia-Entrada (lote 1)","Uma pessoa branca / Persona blanca",,"Homem / Hombre",,"Não / No","Hétero",,"Não / No",,"SP","Brasil","Python Brasil 2020 - Online | Python Brasil 2019 - Ribeirão Preto - SP","Sim, eventos locais / Sí, eventos locales","Sim / Sí","Há mais de três anos / Hace más de tres años","Intermediário / Intermedio","Sim, graduação ou tecnólogo / Sí, grado","Sim / Sí","Sim / Sí","Grupy sp"
"Ingresso Geral (lote 1)","Uma pessoa amarela",,"Homem / Hombre",,"Não / No","Hétero",,"Não / No",,"RS","Brasil","É a minha primeira vez no evento! / Es mi primera vez","Não, esse é meu primeiro evento da linguagem Python / No, es mi primer evento de la comunidad Python","Não / No","Há mais de um ano / Hace más de un año","Iniciante / Inicial","Sim, graduação ou tecnólogo / Sí, grado","Não, mas pretendo / No, pero quiero","Sim / Sí","PYCaxias "
"Ingresso Meia-Entrada (lote 1)","Uma pessoa parda / Persona mestiza",,"Homem / Hombre",,"Não / No","Hétero",,"Não / No",,"AM","Brasil","É a minha primeira vez no evento! / Es mi primera vez","Não, esse é meu primeiro evento da linguagem Python / No, es mi primer evento de la comunidad Python","Sim / Sí","Comecei no último ano / Empecé en el último ano","Intermediário / Intermedio","Sim, graduação ou tecnólogo / Sí, grado","Não, mas pretendo / No, pero quiero","Não / No",
"Ingresso Meia-Entrada (lote 1)","Uma pessoa parda / Persona mestiza",,"Homem / Hombre",,"Não / No","Hétero",,"Não / No",,"SP","Brasil","É a minha primeira vez no evento! / Es mi primera vez","Sim, eventos locais / Sí, eventos locales","Sim / Sí","Há mais de três anos / Hace más de tres años","Intermediário / Intermedio","Sim, graduação ou tecnólogo / Sí, grado","Sim / Sí","Não / No",
"Ingresso Meia-Entrada (lote 1)","Uma pessoa branca / Persona blanca",,"Mulher / Mujer",,"Não / No","Hétero",,"Não / No",,"AM","Brasil","É a minha primeira vez no evento! / Es mi primera vez","Não, esse é meu primeiro evento da linguagem Python / No, es mi primer evento de la comunidad Python","Não / No","Comecei no último ano / Empecé en el último ano","Iniciante / Inicial","Sim, graduação ou tecnólogo / Sí, grado","Não / No","Não / No",
"Ingresso Geral (lote 1)","Uma pessoa branca / Persona blanca",,"Homem / Hombre",,"Não / No","Hétero",,"Não / No",,"SC","Brasil","Python Brasil 2020 - Online | Python Brasil 2019 - Ribeirão Preto - SP | Python Brasil [14] - 2018 - Natal - RN | Python Brasil [12] - 2016 - Florianópolis - SC | Python Brasil 2021 - Online","Sim, eventos locais / Sí, eventos locales | Sim, eventos regionais (Python Nordeste, Python Cerrado, Python Sul, etc) / Sí, eventos regionales (PyCon Latam, PyCon Bolivia) | Sim, eventos internacionais / Sí, eventos internacionales","Sim / Sí","Há mais de dez anos / Hace más de diez años","Intermediário / Intermedio","Não / No","Sim / Sí","Sim / Sí","Florianópolis "
"Ingresso Meia-Entrada (lote 1)","Uma pessoa parda / Persona mestiza",,"Homem / Hombre",,"Não / No","Hétero",,"Não / No",,"AM","Brasil","É a minha primeira vez no evento! / Es mi primera vez","Não, esse é meu primeiro evento da linguagem Python / No, es mi primer evento de la comunidad Python","Sim / Sí","Há mais de um ano / Hace más de un año","Iniciante / Inicial","Sim, graduação ou tecnólogo / Sí, grado","Sim / Sí","Não / No",
"Ingresso Meia-Entrada (lote 1)","Uma pessoa parda / Persona mestiza",,"Mulher / Mujer",,"Não / No","Hétero",,"Não / No",,"AM","Brasil","Python Brasil 2021 - Online","Sim, eventos locais / Sí, eventos locales","Sim / Sí","Há mais de cinco anos / Hace más de cinco años","Avançado / Avanzado","Sim, pós-graduação ou especialização / Sí, máster posgrado","Sim / Sí","Sim / Sí","PyLadies, Pt-BR Data Science & Python, PyData Manaus"
"Ingresso Meia-Entrada (lote 1)","Uma pessoa branca / Persona blanca",,"Homem / Hombre",,"Não / No","Hétero",,"Não / No",,"AM","Brasil","É a minha primeira vez no evento! / Es mi primera vez","Não, esse é meu primeiro evento da linguagem Python / No, es mi primer evento de la comunidad Python","Não / No","Há mais de cinco anos / Hace más de cinco años","Avançado / Avanzado","Sim, pós-graduação ou especialização / Sí, máster posgrado","Sim / Sí","Não / No",
