"id_proponente","pessoa_com_necessidade_especifica_pcd","id_proposta","como_voce_se_indentifica","faz_parte_da_populacao_trans_travesti","como_voce_se_define_raca","orientaca_sexual","uf","programa_em_python","primeira_vez_pybr","ministrou_atividade_outra_edicao_pybr","ministrou_atividade_outro_evento","precisaria_ajuda_custo","estado_proposta","tipo_atividade","nivel_atividade","duracao","Idioma","Sala","palavras_chaves"
"7GYQDY","Não","38CXGA","Mulher","Não","Uma pessoa parda","Hétero","AM","Não programo, minha atividade é sobre outro tema (por exemplo: carreira e pessoas (Pessoas > Tecnologia))","Sim","Não","Não","Ingresso, Deslocamento (passagens ou reembolso de combustível)","confirmed","Tutorial curto","Não-técnica",120,"pt-BR","OCEAN LAB 1","Design - Discovery - Metodologias"
"T7ALJJ","Não","38CXGA","Mulher","Não","Uma pessoa parda","Hétero","AM","Não programo, minha atividade é sobre outro tema (por exemplo: carreira e pessoas (Pessoas > Tecnologia))","Sim","Não","Eventos com até 200 pessoas","Ingresso, Deslocamento (passagens ou reembolso de combustível)","confirmed","Tutorial curto","Não-técnica",120,"pt-BR","OCEAN LAB 1","Design - Discovery - Metodologias"
"BKQLL8","Não","3RCRYQ","Homem","Não","Uma pessoa branca","Hétero","PE","Programo em Python há mais de dez anos","Participei da Python Brasil de 2013 em Brasília - DF, Participei da Python Brasil 2014 em Porto de Galinhas - PE, Participei da Python Brasil de 2016 em Florianópolis - SC, Participei da Python Brasil de 2018 em Natal - RN, Participei da Python Brasil 2019 em Ribeirão Preto - SP, Participei da Python Brasil 2020 - Online, Participei da Python Brasil 2021 - Online","Em 2018 ou anos anteriores, Em 2019","Meetups e eventos locais, Eventos com até 200 pessoas, Eventos com até 1000 pessoas","Não, não preciso de nenhuma ajuda de custo.","confirmed","Palestra","Iniciante",45,"pt-BR","Tucunare - Vasco Vasquez","sre, devops, confiabilidade"
"N8NCQ7","Não","7MCGY9","Homem","Não","Uma pessoa branca","Bissexual","BA","Não programo, minha atividade é sobre outro tema (por exemplo: carreira e pessoas (Pessoas > Tecnologia))","Sim","Não","Não","Ingresso","confirmed","Palestra","Não-técnica",45,"pt-BR","Aruanã - Vasco Vasquez","IaC, DevOps, Carreira, Vida, Comunidade"
"AWRWDQ","Não","7TEHML","Homem","Não","Uma pessoa branca","Hétero","AM","Programo em Python há mais de três anos","Participei da Python Brasil 2021 - Online","Não","Meetups e eventos locais","Ingresso","confirmed","Tutorial longo","Intermediário",240,"en","OCEAN LAB 2","Visão Computacional, Interação Humano-computador, IA"
"BQN8UQ","Não","7TEHML","Homem","Não","Uma pessoa parda","Hétero","AM","Programo em Python há mais de um ano","Sim","Não","Não","Deslocamento (passagens ou reembolso de combustível), Alimentação","confirmed","Tutorial longo","Intermediário",240,"en","OCEAN LAB 2","Visão Computacional, Interação Humano-computador, IA"
"VWL8LP","Não","7WVRA3","Mulher","Não","Uma pessoa branca","Hétero","AM","Programo em Python há mais de um ano","Sim","Não","Meetups e eventos locais, Eventos com até 200 pessoas, Eventos online","Não, não preciso de nenhuma ajuda de custo.","confirmed","Palestra","Não-técnica",45,"pt-BR","Tucunare - Vasco Vasquez","Capacitação, Diversidade, Estratégias"
"HXBFPY","Sim","8KS3DZ","Prefiro não responder","Prefiro não responder","Uma pessoa parda","Pansexual","AP","Programo em Python há mais de dez anos","Participei da Python Brasil de 2012 em Rio de Janeiro - RJ, Participei da Python Brasil de 2013 em Brasília - DF","Em 2018 ou anos anteriores","Meetups e eventos locais","Não, não preciso de nenhuma ajuda de custo.","confirmed","Palestra","Intermediário",45,"pt-BR","Jaraqui - Vasco Vasquez","Django, asyncio, Channels"
"PWSDKA","Não","9AFFWM","Mulher","Não","Uma pessoa branca","Hétero","AM","Programo em Python há mais de três anos","Sim","Não","Eventos com até 200 pessoas","Não, não preciso de nenhuma ajuda de custo.","confirmed","Palestra","Não-técnica",45,"pt-BR","Tucunare - Vasco Vasquez","Educação, Multidisciplinar, BNCC"
"XKQAAP","Não","9WE9XJ","Homem","Não","Uma pessoa branca","Hétero","RS","Comecei há menos de um ano","Sim","Em 2021","Eventos com até 200 pessoas","Deslocamento (passagens ou reembolso de combustível)","confirmed","Palestra","Não-técnica",45,"pt-BR","Aruanã - Vasco Vasquez","Transparência,  informação pública ,  dados abertos. "
