Content,Video title,Video publish time,Views,Watch time (hours),Subscribers,Impressions,Impressions click-through rate (%)
sXWD4KHn9Ys,[PyBR2022] Abertura da Python Brasil 2022,"Oct 20, 2022",847,69104,38,16736,2.56
9vnUPhixnco,[PyBR2022] Encerramento da Python Brasil 2022,"Oct 23, 2022",162,12.5636,3,4672,2.42
Ms8y1a5uwt4,"A cabeça ou você usa, ou atrofia. Exercícios para Iniciantes - Fernando Masanori [PyBR2022]","Oct 21, 2022",375,46.7603,10,7621,2.35
CgK5ddYx1Hg,Acessando e utilizando dados públicos: que direitos eu tenho? - Bruno Marassutti [PyBR2022],"Oct 22, 2022",196,21.5811,1,3997,2.4
QGyg0ICDIyY,Análise exploratória de dados para fortalecimento de democracias - Ana Vieira [PyBR2022],"Oct 23, 2022",168,26.7168,-1,3527,3.49
FUMIHwVRmXs,Apresentação do PyLadies Bioinfo para a comunidade Python [PyBR2022],"Oct 21, 2022",202,19.9536,5,4859,1.93
UHbxVoH8q4Y,APyB [PyBR2022],"Oct 20, 2022",115,10.8952,0,4495,1.65
Ccw9Dlw9b2c,Arquitetura Modular com pacotes Python - Dividir para Conquistar - Claudio Sampaio [PyBR2022],"Oct 21, 2022",403,39018,8,6206,3.34
e2SRAYTTcHQ,As minhas 10 pybrs. Histórias e aprendizados - Mário Sérgio [PyBR2022],"Oct 20, 2022",207,38193,1,5049,3.17
jkt1BPouNMg,"Autismo, neurodivergência e programação - Daniel drumond [PyBR2022]","Oct 21, 2022",194,34.0485,7,4393,2.28
7mVqRIJGa2Q,BINGO! Automatizando criação de cartelas com Pillow - Alynne Souza [PyBR2022],"Oct 22, 2022",110,10.4653,-1,3167,2.05
2ol_dlVSTfQ,CD4ML: Continous Delivery for Machine Learning - Eduardo Santos [PyBR2022],"Oct 22, 2022",140,14.6131,1,4908,1.39
eMaAK3Olxh0,Como a computação pode combater a discriminação algorítmica - Carla Vieira [PyBR2022],"Oct 22, 2022",121,15.4068,-1,4437,1.83
4Kk-X7KtT0I,Como o Numba funciona internamente - Guilherme Leobas [PyBR2022],"Oct 20, 2022",170,16.8945,0,8883,1.19
gyLS37NVQHw,Como rodamos 1300+ aplicações python em produção dentro da Globo [PyBR2022],"Oct 22, 2022",317,32.3767,3,6069,3.49
dd8Spona1_0,Cooperação internacional dentro da comunidade Python - Débora Azevedo [PyBR2022],"Oct 22, 2022",182,14024,3,5242,1.39
0eqef6aCK44,Criando joguinhos interativos com MicroPython e eletrônica - Juliana Sousa [PyBR2022],"Oct 21, 2022",167,14.1134,9,3783,2.67
azbJ_CvacbQ,Decifrando o Sphinx: os enigmas da documentação técnica - Melissa Mendonça [PyBR2022],"Oct 23, 2022",107,15.0751,0,3952,1.82
GZm9w77WUkY,"Django, asyncio e websockets - Asa [PyBR2022]","Oct 21, 2022",313,32.9103,3,6603,2.98
VBH-xItHt-w,Educação brasileira: tecnologia cívica e comunidade - Lorena Pereira [PyBR2022],"Oct 20, 2022",171,21.0412,1,4532,2.32
gEM32vG6Ppk,Engineering Manager: o primeiro ano - Tarsis Azevedo [PyBR2022],"Oct 21, 2022",184,33.4698,2,4483,1.78
