tipo_ingresso;como_voce_se_define;como_voce_se_define_se_outro;como_voce_se_indentifica;como_voce_se_indentifica_se_outro;faz_parte_da_populacao_t;orientaca_sexual;orientaca_sexual_se_outro;pessoa_com_necessidade_especifica;pessoa_com_necessidade_especifica_se_sim_qual;uf;pais;edicoes_anteriores_pybr;eventos_pybr;eventos_online;programa_em_python;nivel_python;estudante;trabalha_com_python;parte_de_alguma_comunidade;comunidade_qual;camiseta_tamanho
Inteira Primeiro Lote - Palestras;Uma pessoa branca / Persona blanca;;Homem / Hombre;;Não / No;Hétero;;Não / No;;SP;BR;Python Brasil 2019 - Ribeirão Preto - SP;Sim, eventos regionais (Python Nordeste, Python Cerrado, Python Sul, etc) / Sí, eventos regionales (PyCon Latam, PyCon Bolivia);Sim / Sí;Há mais de cinco anos / Hace más de cinco años;Avançado / Avanzado;Não / No;Sim / Sí;Não / No;;M - largura 54 cm x comprimento 72 cm
Inteira Primeiro Lote - Palestras;Uma pessoa branca / Persona blanca;;Homem / Hombre;;Não / No;Hétero;;Não / No;;RS;BR;É a minha primeira vez no evento! / Es mi primera vez;Sim, eventos locais / Sí, eventos locales;Sim / Sí;Há mais de três anos / Hace más de tres años;Intermediário / Intermedio;Sim, pós-graduação ou especialização / Sí, máster posgrado;Sim / Sí;Não / No;;GG - largura 60 cm x comprimento 80 cm
Inteira Primeiro Lote - Palestras;Uma pessoa branca / Persona blanca;;Homem / Hombre;;Não / No;Bissexual / Bisexual;;Não / No;;SC;BR;Python Brasil 2021 - Online | Python Brasil 2020 - Online | Python Brasil 2019 - Ribeirão Preto - SP | Python Brasil [14] - 2018 - Natal - RN;Sim, eventos locais / Sí, eventos locales | Sim, eventos regionais (Python Nordeste, Python Cerrado, Python Sul, etc) / Sí, eventos regionales (PyCon Latam, PyCon Bolivia);Sim / Sí;Há mais de cinco anos / Hace más de cinco años;Avançado / Avanzado;Não / No;Sim / Sí;Sim / Sí;Grupy-RN e Grupy Floripa;G - largura 58 cm x comprimento 77 cm
Inteira Primeiro Lote - Palestras;Uma pessoa branca / Persona blanca;;Mulher / Mujer;;Não / No;Hétero;;Não / No;;SC;BR;Python Brasil 2021 - Online | Python Brasil 2020 - Online | Python Brasil 2019 - Ribeirão Preto - SP | Python Brasil [14] - 2018 - Natal - RN;Sim, eventos locais / Sí, eventos locales | Sim, eventos regionais (Python Nordeste, Python Cerrado, Python Sul, etc) / Sí, eventos regionales (PyCon Latam, PyCon Bolivia);Sim / Sí;Há mais de três anos / Hace más de tres años;Intermediário / Intermedio;Não / No;Sim / Sí;Sim / Sí;Python Floripa / Pyladies Floripa;P - largura 50 cm x comprimento 67 cm
Meia-entrada Primeiro Lote - Palestras;Uma pessoa parda / Persona mestiza;;Mulher / Mujer;;Não / No;Hétero;;Não / No;;SC;;Python Brasil 2021 - Online | Python Brasil 2020 - Online | Python Brasil 2019 - Ribeirão Preto - SP;Sim, eventos locais / Sí, eventos locales | Sim, eventos regionais (Python Nordeste, Python Cerrado, Python Sul, etc) / Sí, eventos regionales (PyCon Latam, PyCon Bolivia) | Sim, eventos internacionais / Sí, eventos internacionales;Sim / Sí;Há mais de um ano / Hace más de un año;Intermediário / Intermedio;Sim, graduação ou tecnólogo / Sí, grado;Sim / Sí;Sim / Sí;PyLadies Floripa;M - largura 54 cm x comprimento 72 cm
Meia-entrada Primeiro Lote - Palestras;Uma pessoa parda / Persona mestiza;;Mulher / Mujer;;Não / No;Gay;;Não / No;;CE;BR;É a minha primeira vez no evento! / Es mi primera vez;Sim, eventos locais / Sí, eventos locales;Sim / Sí;Há mais de três anos / Hace más de tres años;Avançado / Avanzado;Sim, graduação ou tecnólogo / Sí, grado;Sim / Sí;Sim / Sí;PUGCE;GG - largura 60 cm x comprimento 80 cm
Meia-entrada Primeiro Lote - Palestras;Uma pessoa branca / Persona blanca;;Homem / Hombre;;Não / No;Hétero;;Não / No;;RS;;É a minha primeira vez no evento! / Es mi primera vez;Não, esse é meu primeiro evento da linguagem Python / No, es mi primer evento de la comunidad Python;Sim / Sí;Não sei programar / No;Nulo :D;Sim, graduação ou tecnólogo / Sí, grado;Não / No;Não / No;;GG - largura 60 cm x comprimento 80 cm
Meia-entrada Primeiro Lote - Palestras;Uma pessoa branca / Persona blanca;;Homem / Hombre;;Não / No;Hétero;;Não / No;;RS;;É a minha primeira vez no evento! / Es mi primera vez;Não, esse é meu primeiro evento da linguagem Python / No, es mi primer evento de la comunidad Python;Não / No;Comecei no último ano / Empecé en el último ano;Iniciante / Inicial;Sim, pós-graduação ou especialização / Sí, máster posgrado;Não, mas pretendo / No, pero quiero;Não / No;;M - largura 54 cm x comprimento 72 cm
Meia-entrada Primeiro Lote - Palestras;Uma pessoa branca / Persona blanca;;Mulher / Mujer;;Não / No;Bissexual / Bisexual;;Não / No;;RS;;É a minha primeira vez no evento! / Es mi primera vez;Não, esse é meu primeiro evento da linguagem Python / No, es mi primer evento de la comunidad Python;Não / No;Não sei programar / No;Iniciante / Inicial;Sim, pós-graduação ou especialização / Sí, máster posgrado;Não, mas pretendo / No, pero quiero;Não / No;;M - largura 54 cm x comprimento 72 cm
Meia-entrada Primeiro Lote - Palestras;Uma pessoa parda / Persona mestiza;;Mulher / Mujer;;Não / No;Prefiro não responder / Prefiero no decirlo;;Não / No;;BA;BR;É a minha primeira vez no evento! / Es mi primera vez;Sim, eventos regionais (Python Nordeste, Python Cerrado, Python Sul, etc) / Sí, eventos regionales (PyCon Latam, PyCon Bolivia);Sim / Sí;Há mais de um ano / Hace más de un año;Intermediário / Intermedio;Sim, graduação ou tecnólogo / Sí, grado;Sim / Sí;Sim / Sí;Pyladies ;P - largura 50 cm x comprimento 67 cm
